date,pm2_5,pm10,no2,so2,co,o3,aqi,temperature,humidity,precipitation,next_day_aqi,month,day_of_week,is_weekend,aqi_change_rate,aqi_rolling_3d,aqi_rolling_7d
2024-01-24,54.44583333333333,98.5875,35.00416666666667,27.28333333333333,828.9583333333334,88.70833333333333,138.54166666666666,18.7625,59.91666666666666,0.0,152.83333333333334,1,2,0,28.291666666666657,133.40277777777777,140.97619047619045
2024-01-25,59.60416666666666,105.91666666666669,47.51666666666667,23.0875,1041.5,71.5,152.83333333333334,19.133333333333333,70.04166666666667,0.0,141.16666666666666,1,3,0,14.291666666666686,133.875,141.625
2024-01-26,54.81666666666666,92.4375,34.8375,21.0375,804.5416666666666,88.04166666666667,141.16666666666666,20.216666666666665,60.208333333333336,0.0,151.95833333333334,1,4,0,-11.666666666666686,144.18055555555554,140.70238095238096
2024-01-27,60.22916666666666,96.1625,26.6375,21.70833333333333,869.2083333333334,109.45833333333331,151.95833333333334,20.495833333333334,50.29166666666666,0.0,151.375,1,5,1,10.791666666666686,148.6527777777778,140.21428571428572
2024-01-28,54.333333333333336,90.8125,21.525,19.775,823.0,100.29166666666669,151.375,19.40833333333333,65.875,0.0,113.29166666666669,1,6,1,-0.5833333333333428,148.16666666666666,142.50595238095238
2024-01-29,23.875,50.05833333333334,18.9,5.9625,357.0416666666667,75.83333333333333,113.29166666666669,22.775,75.54166666666667,0.4,72.79166666666667,1,0,0,-38.083333333333314,138.87500000000003,137.05952380952382
2024-01-30,24.225,74.53750000000001,24.116666666666664,7.258333333333333,375.125,63.375,72.79166666666667,22.116666666666664,80.95833333333333,0.8,74.04166666666667,1,1,0,-40.500000000000014,112.48611111111113,131.70833333333334
2024-01-31,22.504166666666663,61.4125,20.55,6.3,344.625,71.125,74.04166666666667,22.725,79.58333333333333,0.3,73.33333333333333,1,2,0,1.25,86.70833333333333,122.49404761904763
2024-02-01,27.925,87.56666666666666,22.695833333333336,9.95,384.0833333333333,78.29166666666667,73.33333333333333,22.870833333333334,62.91666666666666,0.0,100.08333333333331,2,3,0,-0.7083333333333428,73.3888888888889,111.13690476190477
2024-02-02,40.766666666666666,134.66666666666666,27.666666666666668,11.325,409.9166666666667,59.79166666666666,100.08333333333331,23.183333333333334,73.25,0.0,116.25,2,4,0,26.749999999999986,82.4861111111111,105.26785714285715
2024-02-03,35.237500000000004,91.7875,32.362500000000004,10.666666666666666,519.0,46.29166666666666,116.25,21.854166666666668,76.33333333333333,3.2,82.91666666666667,2,5,1,16.166666666666686,96.55555555555554,100.16666666666667
2024-02-04,24.1125,79.15833333333333,20.28333333333333,5.2125,321.1666666666667,71.0,82.91666666666667,22.84166666666667,79.54166666666667,1.2,80.25,2,6,1,-33.33333333333333,99.75,90.38690476190477
